"Step","algo_type: robust - reward","algo_type: robust - reward__MIN","algo_type: robust - reward__MAX","algo_type: vanilla - reward","algo_type: vanilla - reward__MIN","algo_type: vanilla - reward__MAX","algo_type: r2 - reward","algo_type: r2 - reward__MIN","algo_type: r2 - reward__MAX"
"123","0.8466111375080022","-0.6008459117009767","0.9066005987627676","0.8970628039939837","0.8752903159397322","0.9074355866294727","0.8437300631799488","-0.5617504765594851","0.9034689798689856"
"124","0.8471929913519745","-0.5788927541198226","0.9100369678449826","0.7002949332562756","-0.5998408937415478","0.9066651886980258","0.8974820499126092","0.8572492898943412","0.9055712275579769"
"125","0.8954779807468356","0.862100570129616","0.9057393403468218","0.8460836639146769","-0.5657325183460737","0.9104846211881265","0.7989044373353995","-0.583226985205366","0.9089807139774733"
"126","0.847369025694789","-0.5613579539958119","0.9052509710771708","0.8442062706058181","-0.5624015015461117","0.9054910361104271","0.7519353293140152","-0.6000553937399167","0.9057945963018494"
"127","0.843454076811366","-0.6163241233919083","0.9080325139690024","0.8431659932559074","-0.6045222395195919","0.9055416206926097","0.8966240268081829","0.8665680194307821","0.9048665820004284"
"128","0.7805868089856494","-0.6171916991254427","0.9054546467221052","0.8427058705499453","-0.5986037644132911","0.9046345082455827","0.8441464864770866","-0.5614526654936549","0.9064873332215565"
"129","0.7971781473392582","-0.5847077198304671","0.9059485159154602","0.7937661488610768","-0.5985105721492734","0.9046230563779858","0.84443450003867","-0.5874419615010791","0.9077546007820534"
"130","0.8943565538268682","0.836640559235663","0.9081709456666703","0.8942410029743936","0.8151258257089553","0.9099413252305378","0.8469680820074166","-0.6021660452039151","0.9064019302004438"
"131","0.8894454814632778","0.8149472567808798","0.9063879860277646","0.895970128071477","0.8800052134792073","0.9063495204326567","0.794472626862129","-0.6074907421821462","0.9031504088568852"
"132","0.7988780641555266","-0.5790220640715519","0.9071110835845152","0.8947257419067719","0.8724170223066728","0.9048186966440135","0.7944159101596432","-0.6131306989936521","0.9059171561930747"
"133","0.8974934932667289","0.8619909146304463","0.905744984690766","0.7396743545195089","-0.633359626761222","0.9089807139774733","0.847898169086864","-0.5418534745715107","0.904255701549902"
"134","0.8485614841560329","-0.5419034787879676","0.9059115652798415","0.793770506400526","-0.6222522683432737","0.9078916215338492","0.8474807162869262","-0.5986275584618629","0.9066775466649505"
"135","0.8486463503994295","-0.5614854613065364","0.9055604083303761","0.8400112472629949","-0.6109881221743878","0.9082738750696473","0.7988624960126758","-0.5623946750284234","0.9045872609035586"
"136","0.7953583799514289","-0.580597653582429","0.9081031633093363","0.8446702909922682","-0.5572554677933728","0.9046673284634564","0.8952905963356819","0.8589325359684988","0.9069345022388575"
"137","0.7979701090813889","-0.5838994228721734","0.9066902920520438","0.7341729424700498","-0.639378893909741","0.9069149551041917","0.8955783258846416","0.8633152606930353","0.9090984714165302"
"138","0.7963239811809988","-0.5840289064487458","0.9038761371735736","0.80532862339608","-0.5944006071435022","0.907742805264208","0.7517130920980278","-0.5598185659496866","0.906501414882674"
"139","0.894352242260975","0.8404643722800395","0.9080325139690024","0.8946982038421042","0.8394289523128615","0.9047664139542598","0.846946651985058","-0.5994934319239899","0.9054980756092949"
"140","0.8439521472529623","-0.690369930620995","0.90663057573678","0.7859074622755526","-0.6247924965140389","0.9047924954158123","0.748948638257995","-0.6108406542319306","0.9065726372081176"
"141","0.8418884190445194","-0.5403397938703368","0.9051803420420507","0.7869317971792725","-0.5836941912339961","0.9090769566280362","0.7978416754495313","-0.5823596046042248","0.9058504976309402"
"142","0.8967937934650543","0.877031996044011","0.9081709456666703","0.8944164311115577","0.8422854957409708","0.9064562640932777","0.7492159406778125","-0.5844682579318206","0.906213436173692"
"143","0.8455593168391183","-0.5603237069447474","0.9038915799750258","0.7848345022736279","-0.5803550958178323","0.9063922701940185","0.8943701049733617","0.8138954355680695","0.9085064645695164"
"144","0.7969088448485792","-0.6073883686990529","0.9054524167653736","0.8910787593139106","0.8462355777897574","0.9038917960454328","0.6987413862959126","-0.6215964422630504","0.9050003635679625"
"145","0.8961052704451554","0.8614303677811112","0.9072165530861394","0.5317029617245289","-7.478717511686129","0.90414804996289","0.8010678469854458","-0.5652849802723962","0.9042192011085517"
"146","0.8968891692649468","0.8666048507515239","0.9071719783371799","0.8955696982820655","0.8765824961456826","0.9069801153200086","0.8425289519884219","-0.5621370203772683","0.9052256017532347"
"147","0.8982123177943432","0.8786254804787941","0.9074222458314802","0.6918337768110091","-0.6007142513801506","0.9056914140621631","0.8440377064639288","-0.5593965300374224","0.9061826016271481"
"148","0.8436076349172928","-0.5823985967707251","0.9039865528762182","0.8276222630446841","-0.5648359592665525","0.9052339114043672","0.8922682287672391","0.8235142296449088","0.9065512395133181"
"149","0.8405439988531551","-0.5981855612122785","0.9086135585572277","0.7594394449259197","-0.6187822751295043","0.9053332752250911","0.8455721942738448","-0.5423187244341278","0.905707200759073"
"150","0.8424071251924459","-0.5795693575023847","0.9059463586421109","0.8279236776679518","-0.5648719257773156","0.9031105364157935","0.84131015664979","-0.60099344680417","0.9068610130302575"
"151","0.839525100438658","-0.5790323487045463","0.9055580285327739","0.8872493952739241","0.8328152570584879","0.9052479170722061","0.842458189732146","-0.6022831759880098","0.904460908698918"
"152","0.7314927710596741","-0.5772743690481001","0.9113942235442001","0.6760790911956819","-0.5963889051675857","0.9044514091955949","0.897910406446636","0.8533598470006972","0.9060410590011416"
"153","0.782243332588962","-0.7026846946667088","0.9080287350106246","0.8924026351956259","0.8774369171040066","0.9037461865639747","0.8381132624615362","-0.5570112412562697","0.9049704500866409"
